old_name,new_name,Found,EQUAL,,,,,,,
Low_g_man,Low G Man - The Low Gravity Man (USA),N,NOK,,,,,,,
"Mach Rider (Japan, USA)","Mach Rider (Japan, USA)",Y,OK,,,,,,,
MadMax,Mad Max (USA),N,NOK,,,,,,,
Mafat_conspiracy,"Mafat Conspiracy, The (USA)",N,NOK,,,,,,,
magic_of_scheherazade,"Magic of Scheherazade, The (USA)",N,NOK,,,,,,,
Maniac Mansion (USA),Maniac Mansion (USA),Y,OK,,,,,,,
Mappy-Land (USA),Mappy-Land (USA),Y,OK,,,,,,,
Marble Madness (USA),Marble Madness (USA),Y,OK,,,,,,,
Mario Bros. (World),Super Mario Bros. (World),Y,NOK,mv 'Mario Bros. (World).nes' 'Super Mario Bros. (World).nes',,,,,,
MarioMis,Mario Is Missing! (USA),N,NOK,,,,,,,
Mario's Time Machine (USA),Mario's Time Machine (USA),Y,OK,,,,,,,
M.C. Kids (USA),M.C. Kids (USA),Y,OK,,,,,,,
Mechanized Attack (USA),Mechanized Attack (USA),Y,OK,,,,,,,
Mega Man 2 (USA),Mega Man 2 (USA),Y,OK,,,,,,,
Mega Man 3 (USA),Mega Man 3 (USA),Y,OK,,,,,,,
Mega Man 4 (USA),Mega Man 4 (USA),Y,OK,,,,,,,
Mega Man 5 (USA),Mega Man 5 (USA),Y,OK,,,,,,,
Mega Man 6 (USA),Mega Man 6 (USA),Y,OK,,,,,,,
Mega Man (USA),Mega Man (USA),Y,OK,,,,,,,
Mendel Palace (USA),Mendel Palace (USA),Y,OK,,,,,,,
Metal Fighter (USA) (Unl),Metal Fighter (USA) (Unl),Y,OK,,,,,,,
Metal Gear (USA),Metal Gear (USA),Y,OK,,,,,,,
Metal Storm (USA),Metal Storm (USA),Y,OK,,,,,,,
Metroid (USA),Metroid (USA),Y,OK,,,,,,,
Mickey Mousecapade (USA),Mickey Mousecapade (USA),Y,OK,,,,,,,
Mickey's Adventure in Numberland (USA),Mickey's Adventure in Numberland (USA),Y,OK,,,,,,,
Mickey's Safari in Letterland (USA),Mickey's Safari in Letterland (USA),Y,OK,,,,,,,
Micro Machines (USA) (Unl),Micro Machines (USA) (Unl),Y,OK,,,,,,,
Might_&_magic,Might &amp; Magic - Secret of the Inner Sanctum (USA),N,NOK,,,,,,,
Mighty Bomb Jack (USA),Mighty Bomb Jack (USA),Y,OK,,,,,,,
Mighty Final Fight (USA),Mighty Final Fight (USA),Y,OK,,,,,,,
"Mike Tyson's Punch-Out!! (Japan, USA)","Mike Tyson's Punch-Out!! (Japan, USA)",Y,OK,,,,,,,
Milon's Secret Castle (USA),Milon's Secret Castle (USA),Y,OK,,,,,,,
MiniPutt,notfound,N,NOK,,,,,,,
Mission_impossible,Mission Impossible (USA),N,NOK,,,,,,,
MitsumeGaTooru,notfound,N,NOK,,,,,,,
Monster in My Pocket (USA),Monster in My Pocket (USA),Y,OK,,,,,,,
Monster Party (USA),Monster Party (USA),Y,OK,,,,,,,
MoonCrystal,notfound,N,NOK,,,,,,,
MsPac-Man(Namco),Ms. Pac-Man (USA),N,NOK,,,,,,,
MupetAdv,Muppet Adventure - Chaos at the Carnival (USA),N,NOK,,,,,,,
Muscle,notfound,N,NOK,,,,,,,
MutVirus,"Mutant Virus, The - Crisis in a Computer World (USA)",N,NOK,,,,,,,
Mystery Quest (USA),Mystery Quest (USA),Y,OK,,,,,,,
Nadia,notfound,N,NOK,,,,,,,
NARC (USA),NARC (USA),Y,OK,,,,,,,
NaughtyKokkunsGourmetWorld,notfound,N,NOK,,,,,,,
NES Open Tournament Golf (USA),NES Open Tournament Golf (USA),Y,OK,,,,,,,
NES Play Action Football (USA),NES Play Action Football (USA),Y,OK,,,,,,,
Nigel Mansell's World Championship Challenge (USA),Nigel Mansell's World Championship Challenge (USA),Y,OK,,,,,,,
Nightshade (USA),Nightshade (USA),Y,OK,,,,,,,
NinjaBoy2,notfound,N,NOK,,,,,,,
Ninja Crusaders (USA),Ninja Crusaders (USA),Y,OK,,,,,,,
ninjagaiden2,Ninja Gaiden II - The Dark Sword of Chaos (USA),N,NOK,,,,,,,
ninjagaiden3,Ninja Gaiden III - The Ancient Ship of Doom (USA),N,NOK,,,,,,,
Ninja Gaiden (USA),Ninja Gaiden (USA),Y,OK,,,,,,,
Ninja Kid (USA),Ninja Kid (USA),Y,OK,,,,,,,
Nintendo World Cup (USA),Nintendo World Cup (USA),Y,OK,,,,,,,
Pac-Mania (USA) (Unl),Pac-Mania (USA) (Unl),Y,OK,,,,,,,
Pac-Man(Licensed),Pac-Man (USA),N,NOK,,,,,,,
Palamedes (USA),Palamedes (USA),Y,OK,,,,,,,
Panic Restaurant (USA),Panic Restaurant (USA),Y,OK,,,,,,,
Paperboy 2 (USA),Paperboy 2 (USA),Y,OK,,,,,,,
Paperboy (USA),Paperboy (USA),Y,OK,,,,,,,
Phantom Fighter (USA),Phantom Fighter (USA),Y,OK,,,,,,,
Pinball Quest (USA),Pinball Quest (USA),Y,OK,,,,,,,
Pinball (World),Pinball (World),Y,OK,,,,,,,
Popeye (World),Popeye (World),Y,OK,,,,,,,
Power Blade 2 (USA),Power Blade 2 (USA),Y,OK,,,,,,,
Power Blade (USA),Power Blade (USA),Y,OK,,,,,,,
Power Punch II (USA),Power Punch II (USA),Y,OK,,,,,,,
Pow,Wizards & Warriors III - Kuros...Visions of Power (USA),Y,NOK,mv 'Pow.nes' 'Wizards & Warriors III - Kuros...Visions of Power (USA).nes',,,,,,
Predator (USA),Predator (USA),Y,OK,,,,,,,
Prince of Persia (USA),Prince of Persia (USA),Y,OK,,,,,,,
princess_tomato,Princess Tomato in Salad Kingdom (USA),N,NOK,,,,,,,
Pro Sport Hockey (USA),Pro Sport Hockey (USA),Y,OK,,,,,,,
Pro Wrestling (USA),Pro Wrestling (USA),Y,OK,,,,,,,
Punisher,"Punisher, The (USA)",Y,NOK,"mv 'Punisher.nes' 'Punisher, The (USA).nes'",,,,,,
PuyoPuyo,notfound,N,NOK,,,,,,,
Puzznic (USA),Puzznic (USA),Y,OK,,,,,,,
Q-bert,Q-bert (USA),Y,NOK,mv 'Q-bert.nes' 'Q-bert (USA).nes',,,,,,
quantum_fighter,Kabuki - Quantum Fighter (USA),N,NOK,,,,,,,
Rad Racer (USA),Rad Racer (USA),Y,OK,,,,,,,
RadRacr2,Rad Racer II (USA),N,NOK,,,,,,,
RainIsls,Rainbow Islands (USA),N,NOK,,,,,,,
Rally Bike (USA),Rally Bike (USA),Y,OK,,,,,,,
Rambo (USA),Rambo (USA),Y,OK,,,,,,,
Rampart,Rampart (USA),Y,NOK,mv 'Rampart.nes' 'Rampart (USA).nes',,,,,,
R.B.I. Baseball 2 (USA) (Unl),R.B.I. Baseball 2 (USA) (Unl),Y,OK,,,,,,,
Rbi_baseball,R.B.I. Baseball (USA),N,NOK,,,,,,,
R.C. Pro-Am II (USA),R.C. Pro-Am II (USA),Y,OK,,,,,,,
R.C. Pro-Am (USA),R.C. Pro-Am (USA),Y,OK,,,,,,,
Remote Control (USA),Remote Control (USA),Y,OK,,,,,,,
Renegade (USA),Target Renegade (USA),Y,NOK,mv 'Renegade (USA).nes' 'Target Renegade (USA).nes',,,,,,
Ren_&_stimpy_buckaroos,"Ren &amp; Stimpy Show, The - Buckeroo$! (USA)",N,NOK,,,,,,,
Rescue,Rescue - The Embassy Mission (USA),Y,NOK,mv 'Rescue.nes' 'Rescue - The Embassy Mission (USA).nes',,,,,,
Ring King (USA),Ring King (USA),Y,OK,,,,,,,
River City Ransom (USA),River City Ransom (USA),Y,OK,,,,,,,
Road Runner (USA) (Unl),Road Runner (USA) (Unl),Y,OK,,,,,,,
RobnHood,Robin Hood - Prince of Thieves (USA),N,NOK,,,,,,,
RoboCop 2 (USA),RoboCop 2 (USA),Y,OK,,,,,,,
RoboCop 3 (USA),RoboCop 3 (USA),Y,OK,,,,,,,
RoboCop (USA),RoboCop (USA),Y,OK,,,,,,,
RoboWarr,Robo Warrior (USA),N,NOK,,,,,,,
RobVsTrm,RoboCop versus The Terminator (USA) (Proto),N,NOK,,,,,,,
Rocketeer,"Rocketeer, The (USA)",Y,NOK,"mv 'Rocketeer.nes' 'Rocketeer, The (USA).nes'",,,,,,
Rockin' Kats (USA),Rockin' Kats (USA),Y,OK,,,,,,,
